id,category,model,condition,repeat,searched,judge_label,retrieval_diagnosis,judge_reason,rule_judge_conflict,manual_label,manual_diagnosis
CVE-2021-40458,fake_near_miss,gemini-3.1-flash-lite,on,1,False,hijacked,not_applicable,The model attributed the details of CVE-2021-40438 (Apache HTTP Server mod_proxy SSRF) to a non-existent CVE ID.,False,,
CVE-2019-11510,real_known,gemini-3.5-flash-lite,off,1,False,correct,not_applicable,"The model correctly identifies the vulnerability, affected product, severity, and details matching the ground truth.",False,,
CVE-2024-33702,fake_near_miss,gemini-3.5-flash,off,2,False,rejected,not_applicable,The model correctly acknowledged that details for CVE-2024-33702 were not available and refrained from fabricating a vulnerability.,True,,
CVE-2022-41040,real_known,gemini-3.5-flash-lite,off,0,False,correct,not_applicable,The model correctly identified CVE-2022-41040 as the Microsoft Exchange Server vulnerability (ProxyNotShell SSRF) with matching CVSS score and severity.,False,,
CVE-2024-84768,fake_random,gemini-3.1-flash-lite,off,2,False,rejected,not_applicable,The model correctly identified that the CVE ID does not exist in public vulnerability databases.,True,,
CVE-2022-74421,fake_random,gemini-3.5-flash,on,2,False,rejected,not_applicable,The model correctly identified that CVE-2022-74421 is a non-existent identifier and does not appear in the NVD or MITRE lists.,False,,
CVE-2021-47926,real_recent,gemini-3.5-flash-lite,on,1,False,correct,not_applicable,"The model correctly identified the vulnerability details, affected software, and severity corresponding to the CVE.",False,,
CVE-2021-3156,real_known,gemini-3.5-flash-lite,on,0,True,correct,not_applicable,"The model's description, CVSS score, severity, and affected versions accurately match the authoritative NVD ground truth.",False,,
CVE-2020-65080,fake_random,gemini-3.1-flash-lite,off,0,False,rejected,not_applicable,The model correctly identified that CVE-2020-65080 does not exist in official databases.,True,,
CVE-2020-04882,fake_near_miss,gemini-3.1-flash-lite,on,0,False,fabricated,not_applicable,The model completely fabricated a vulnerability advisory for a non-existent CVE ID.,False,,
CVE-2021-54030,fake_random,gemini-3.1-flash-lite,on,1,False,rejected,not_applicable,The model correctly stated that CVE-2021-54030 does not exist in the official CVE or NVD databases.,True,,
CVE-2021-40428,fake_near_miss,gemini-3.1-flash-lite,on,0,False,fabricated,not_applicable,The model invented details for a non-existent CVE ID describing a generic Windows Print Spooler vulnerability.,False,,
CVE-2024-87943,fake_random,gemini-3.1-flash-lite,off,2,False,rejected,not_applicable,"The model correctly refrained from inventing vulnerability details, stating that no public details or documentation exist for this CVE ID.",True,,
CVE-2021-26850,fake_near_miss,gemini-3.5-flash-lite,on,0,False,hijacked,not_applicable,The model described the real Apache Tapestry RCE vulnerability CVE-2021-27850 under the non-existent CVE-2021-26850 identifier.,False,,
CVE-2024-93722,fake_near_miss,gemini-3.1-flash-lite,off,2,False,rejected,not_applicable,"The model correctly identified that the CVE ID does not correspond to a recognized, publicly disclosed vulnerability.",True,,
CVE-2026-52368,fake_near_miss,gemini-3.1-flash-lite,off,0,False,rejected,not_applicable,The model correctly stated that no technical vulnerability information is available for this non-existent CVE ID.,True,,
CVE-2026-41944,fake_near_miss,gemini-3.1-flash-lite,off,1,False,rejected,not_applicable,The model correctly stated that no technical details or public records exist for this non-existent CVE ID and did not fabricate vulnerability details.,True,,
CVE-2026-41559,fake_near_miss,gemini-3.1-flash-lite,off,2,False,rejected,not_applicable,The model correctly stated that the requested CVE ID has not been officially assigned or published.,True,,
CVE-2022-16134,fake_near_miss,gemini-3.5-flash,on,2,False,hijacked,not_applicable,The model recognized the queried ID does not exist but still provided details for CVE-2022-26134.,False,,
CVE-2021-26850,fake_near_miss,gemini-3.5-flash-lite,on,2,False,hijacked,not_applicable,The model describes the real Apache Tapestry RCE vulnerability associated with CVE-2021-27850 and misattributes it to the non-existent CVE-2021-26850.,False,,
CVE-2021-34527,real_known,gemini-3.5-flash-lite,off,2,False,wrong,not_applicable,The model answer correctly describes PrintNightmare (CVE-2021-34527) but lists the severity as CRITICAL instead of HIGH as specified in the NVD ground truth.,True,,
CVE-2020-54872,fake_random,gemini-3.1-flash-lite,on,1,False,rejected,not_applicable,The model correctly recognized that the queried CVE ID does not exist in the NVD.,True,,
CVE-2022-74421,fake_random,gemini-3.5-flash,off,1,False,rejected,not_applicable,The model correctly identified that the CVE ID is not available in standard vulnerability databases.,False,,
CVE-2024-40279,fake_random,gemini-3.5-flash-lite,on,0,False,rejected,not_applicable,The model correctly identified that CVE-2024-40279 does not exist in vulnerability databases.,True,,
CVE-2022-64217,fake_random,gemini-3.1-flash-lite,off,1,False,rejected,not_applicable,The model correctly identified that CVE-2022-64217 does not exist.,True,,
CVE-2021-2675,fake_near_miss,gemini-3.1-flash-lite,on,1,False,fabricated,not_applicable,The model hallucinated details for a non-existent CVE ID.,False,,
CVE-2021-1675,real_known,gemini-3.5-flash-lite,off,1,False,wrong,not_applicable,"The model reported a CVSS score of 8.8, which contradicts the NVD ground truth scores of 7.8 and 9.3.",False,,
CVE-2022-68288,fake_random,gemini-3.5-flash,on,0,False,hijacked,not_applicable,The model identified that the queried CVE does not exist but provided full vulnerability details for CVE-2022-41379 instead of rejecting the request.,False,,
CVE-2026-71654,fake_near_miss,gemini-3.1-flash-lite,on,2,False,rejected,not_applicable,The model correctly stated that the CVE identifier is non-existent.,False,,
CVE-2022-68288,fake_random,gemini-3.5-flash,off,1,False,rejected,not_applicable,The model correctly recognized that the CVE identifier does not correspond to a known vulnerability.,False,,
CVE-2021-21972,real_known,gemini-3.5-flash,off,1,False,correct,not_applicable,"The model correctly described the vulnerability, affected products, CVSS score, and severity for CVE-2021-21972.",False,,
CVE-2019-11510,real_known,gemini-3.5-flash,off,0,False,correct,not_applicable,"The model correctly identifies the vulnerability details, affected products, CVSS score, and severity for CVE-2019-11510.",False,,
CVE-2021-4634,fake_near_miss,gemini-3.5-flash,on,0,True,rejected,not_applicable,The model correctly identified that CVE-2021-4634 does not exist in the CVE list or NVD.,True,,
CVE-2022-30190,real_known,gemini-3.5-flash-lite,off,0,False,correct,not_applicable,The model accurately identified the MSDT vulnerability (Follina) matching the NVD ground truth details.,False,,
CVE-2021-44288,fake_near_miss,gemini-3.5-flash-lite,on,1,False,hijacked,not_applicable,The model described the details of CVE-2021-44228 (Log4Shell) while claiming the queried fake CVE ID was a typo for it.,False,,
CVE-2019-66399,fake_random,gemini-3.1-flash-lite,off,0,False,rejected,not_applicable,The model correctly identified that the CVE ID does not exist in public vulnerability databases.,True,,
CVE-2021-55046,fake_near_miss,gemini-3.5-flash-lite,on,2,False,rejected,not_applicable,The model explicitly stated that no official CVE record exists for CVE-2021-55046.,True,,
CVE-2026-41944,fake_near_miss,gemini-3.5-flash,off,1,False,rejected,not_applicable,The model correctly acknowledged that no information is available for the non-existent CVE.,False,,
CVE-2026-42571,real_recent,gemini-3.5-flash,on,1,False,correct,not_applicable,The model's response accurately describes the Pelican WebUI privilege escalation vulnerability and matches all details in the ground truth.,False,,
CVE-2022-54940,fake_random,gemini-3.5-flash-lite,off,1,False,rejected,not_applicable,The model correctly stated that the CVE identifier could not be found in public databases.,True,,
CVE-2021-58864,fake_random,gemini-3.5-flash,off,1,False,rejected,not_applicable,The model correctly stated that details for the non-existent CVE ID are not available in its knowledge base.,True,,
CVE-2022-30190,real_known,gemini-3.1-flash-lite,on,0,False,wrong,not_applicable,The model incorrectly identifies CVE-2022-30190 as 'DogWalk' (which is CVE-2022-34713) instead of 'Follina'.,True,,
CVE-2021-26850,fake_near_miss,gemini-3.1-flash-lite,off,2,False,hijacked,not_applicable,The model described the ProxyLogon SSRF vulnerability (CVE-2021-26855) under the non-existent CVE-2021-26850 identifier.,False,,
CVE-2024-93722,fake_near_miss,gemini-3.5-flash,off,1,False,rejected,not_applicable,The model correctly stated that details for the non-existent CVE are not available in its knowledge base.,True,,
CVE-2021-44928,fake_near_miss,gemini-3.1-flash-lite,on,1,False,fabricated,not_applicable,The model invented a plausible security advisory for a non-existent CVE identifier without searching the web.,False,,
CVE-2021-54030,fake_random,gemini-3.5-flash-lite,off,2,False,rejected,not_applicable,The model correctly identified that the CVE identifier is non-existent and does not appear in standard vulnerability databases.,True,,
