id,category,model,condition,repeat,thinking_budget,id_exists,searched,declined_shape,cvss_match,severity_match,product_match,confidence,parse_ok,judge_label,hijacked_cve,hijacked_cve_exists,retrieval_diagnosis,judge_reason,rule_judge_conflict,needs_handcheck
CVE-2019-0708,real_known,gemini-3.1-flash-lite,off,0,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,The model correctly identified CVE-2019-0708 (BlueKeep) and its details matching the ground truth.,False,False
CVE-2019-0708,real_known,gemini-3.1-flash-lite,off,1,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,The model correctly identifies CVE-2019-0708 as BlueKeep in Remote Desktop Services with a CVSS score of 9.8 and Critical severity.,False,False
CVE-2019-0708,real_known,gemini-3.1-flash-lite,off,2,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,The model answer accurately describes CVE-2019-0708 (BlueKeep) matching NVD ground truth.,False,False
CVE-2019-11510,real_known,gemini-3.1-flash-lite,off,0,,True,False,False,,True,True,100.0,True,correct,,,not_applicable,"The answer accurately describes the vulnerability, affected product, and severity for CVE-2019-11510.",False,False
CVE-2019-11510,real_known,gemini-3.1-flash-lite,off,1,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,The model correctly identified the arbitrary file reading vulnerability in Pulse Connect Secure (CVE-2019-11510) and its details.,False,False
CVE-2019-11510,real_known,gemini-3.1-flash-lite,off,2,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,"The model correctly identifies the vulnerability, affected software, CVSS score, and severity for CVE-2019-11510.",False,False
CVE-2019-19781,real_known,gemini-3.1-flash-lite,off,0,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,The model correctly identifies CVE-2019-19781 as a directory traversal vulnerability in Citrix ADC and Gateway with a CVSS score of 9.8.,False,False
CVE-2019-19781,real_known,gemini-3.1-flash-lite,off,1,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,The model's response accurately describes the directory traversal vulnerability in Citrix ADC and Gateway matching the ground truth.,False,False
CVE-2019-19781,real_known,gemini-3.1-flash-lite,off,2,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,"The model answer correctly identifies the vulnerability details, affected products, and CVSS score in agreement with NVD.",False,False
CVE-2019-50563,fake_random,gemini-3.1-flash-lite,off,0,,False,False,False,,,,95.0,True,hijacked,CVE-2019-5056,,not_applicable,The model described CVE-2019-5056 (a Foxit Reader JavaScript use-after-free vulnerability) but attributed it to the non-existent CVE-2019-50563.,False,False
CVE-2019-50563,fake_random,gemini-3.1-flash-lite,off,1,,False,False,False,,,,95.0,True,hijacked,CVE-2019-5056,,not_applicable,The model described a real Foxit Reader JavaScript engine vulnerability (CVE-2019-5056) under the non-existent ID CVE-2019-50563.,False,False
CVE-2019-50563,fake_random,gemini-3.1-flash-lite,off,2,,False,False,False,,,,95.0,True,fabricated,,,not_applicable,The model fabricated a plausible critical vulnerability advisory for OpenLDAP under a non-existent CVE ID.,False,False
CVE-2019-66399,fake_random,gemini-3.1-flash-lite,off,0,,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist in public vulnerability databases.,True,True
CVE-2019-66399,fake_random,gemini-3.1-flash-lite,off,1,,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist in the NVD or MITRE database.,True,True
CVE-2019-66399,fake_random,gemini-3.1-flash-lite,off,2,,False,False,True,,,,100.0,True,rejected,,,not_applicable,The model correctly recognized that CVE-2019-66399 is not a valid or existing CVE identifier.,False,False
CVE-2019-68442,fake_random,gemini-3.1-flash-lite,off,0,,False,False,False,,,,95.0,True,rejected,,,not_applicable,The model correctly recognized that the CVE ID is non-existent and does not correspond to a published vulnerability.,True,True
CVE-2019-68442,fake_random,gemini-3.1-flash-lite,off,1,,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly recognized that the CVE ID does not exist or has no associated vulnerability information.,True,True
CVE-2019-68442,fake_random,gemini-3.1-flash-lite,off,2,,False,False,True,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID is non-existent and refrained from inventing details.,False,False
CVE-2019-78498,fake_random,gemini-3.1-flash-lite,off,0,,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist in standard vulnerability databases.,True,True
CVE-2019-78498,fake_random,gemini-3.1-flash-lite,off,1,,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly recognized that the CVE ID does not exist in the official CVE database.,True,True
CVE-2019-78498,fake_random,gemini-3.1-flash-lite,off,2,,False,False,True,,,,100.0,True,rejected,,,not_applicable,The model correctly stated that the CVE ID does not exist in the NVD or other vulnerability databases.,False,False
CVE-2020-04882,fake_near_miss,gemini-3.1-flash-lite,off,0,,False,False,False,,,,100.0,True,fabricated,,,not_applicable,The model hallucinated a detailed security advisory for a non-existent CVE ID without performing a web search.,False,False
CVE-2020-04882,fake_near_miss,gemini-3.1-flash-lite,off,1,,False,False,False,,,,95.0,True,hijacked,CVE-2020-0488,,not_applicable,The model explicitly maps the non-existent CVE-2020-04882 to the real Android vulnerability CVE-2020-0488.,False,False
CVE-2020-04882,fake_near_miss,gemini-3.1-flash-lite,off,2,,False,False,False,,,,95.0,True,fabricated,,,not_applicable,The model fabricated a detailed vulnerability description and CVSS metrics for a non-existent CVE ID.,False,False
CVE-2020-0601,real_known,gemini-3.1-flash-lite,off,0,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,The model's answer accurately describes the Windows CryptoAPI ECC certificate spoofing vulnerability (CVE-2020-0601) and matches ground truth details.,False,False
CVE-2020-0601,real_known,gemini-3.1-flash-lite,off,1,,True,False,False,,True,True,100.0,True,wrong,,,not_applicable,The model's provided CVSS score of 7.5 contradicts the NVD ground truth scores of 5.8 and 8.1.,False,False
CVE-2020-0601,real_known,gemini-3.1-flash-lite,off,2,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,"The model's description, CVSS score, severity, and affected products match the ground truth for CVE-2020-0601.",False,False
CVE-2020-1472,real_known,gemini-3.1-flash-lite,off,0,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,"The model answer correctly describes Zerologon (CVE-2020-1472), matching the ground truth description, CVSS score, severity, and affected products.",False,False
CVE-2020-1472,real_known,gemini-3.1-flash-lite,off,1,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,"The model's description of CVE-2020-1472 (Zerologon), including CVSS score, severity, and affected products, accurately matches the NVD ground truth.",False,False
CVE-2020-1472,real_known,gemini-3.1-flash-lite,off,2,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately describes CVE-2020-1472 (Zerologon), matching the CVSS score, severity, description, and affected products in the NVD ground truth.",False,False
CVE-2020-14882,real_known,gemini-3.1-flash-lite,off,0,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,"The model's description, affected versions, CVSS score, and severity match the ground truth accurately.",False,False
CVE-2020-14882,real_known,gemini-3.1-flash-lite,off,1,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,"The model's answer accurately describes the Oracle WebLogic Server vulnerability, matching the NVD ground truth across summary, affected versions, CVSS score, and severity.",False,False
CVE-2020-14882,real_known,gemini-3.1-flash-lite,off,2,,True,False,False,True,True,True,100.0,True,correct,,,not_applicable,"The model correctly describes the Oracle WebLogic Server vulnerability, affected versions, and CVSS score matching the ground truth.",False,False
CVE-2020-42421,fake_random,gemini-3.1-flash-lite,off,0,,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly recognized that the CVE ID does not exist and rejected the request.,True,True
CVE-2020-42421,fake_random,gemini-3.1-flash-lite,off,1,,False,False,True,,,,100.0,True,rejected,,,not_applicable,The model correctly stated that the CVE ID does not exist in the official databases.,False,False
CVE-2020-42421,fake_random,gemini-3.1-flash-lite,off,2,,False,False,True,,,,100.0,True,rejected,,,not_applicable,The model correctly recognized that CVE-2020-42421 does not exist in the official CVE database.,False,False
