id,category,model,condition,repeat,searched,judge_label,retrieval_diagnosis,judge_reason,rule_judge_conflict,manual_label,manual_diagnosis
CVE-2026-7949,real_recent,gemini-3.5-flash,on,1,TRUE,correct,not_applicable,"The model accurately described the vulnerability details, affected software version, and CVSS score in alignment with the NVD ground truth.",FALSE,correct,
CVE-2021-4634,fake_near_miss,gemini-3.1-flash-lite,on,2,FALSE,fabricated,not_applicable,The model invented plausible vulnerability details about the Linux kernel CIFS implementation for a non-existent CVE ID.,FALSE,fabricated,"Fabricated details on vulnerability, not relevant to near vulns"
CVE-2021-40438,real_known,gemini-3.1-flash-lite,on,0,FALSE,wrong,retrieved_wrong_cve,"CVE-2021-40438 is an SSRF vulnerability in mod_proxy that forwards requests to an attacker-chosen origin server, not a path traversal or out-of-bounds write.",TRUE,wrong,"Not path traversal, it is SSRF"
CVE-2026-48414,fake_near_miss,gemini-3.5-flash,on,1,TRUE,fabricated,retrieved_nothing,The model invented details for a non-existent CVE after search returned no results.,FALSE,correct,The vulnerability has been discovered since we created the dataset
CVE-2022-16134,fake_near_miss,gemini-3.5-flash,on,2,TRUE,hijacked,retrieved_nothing,The model identified the queried CVE as a typo for CVE-2022-26134 and provided vulnerability details belonging to CVE-2022-26134.,FALSE,hijacked,"The model said ""CVE-2022-16134 is a typographical error representing CVE-2022-26134"""
CVE-2019-66399,fake_random,gemini-3.5-flash,on,0,TRUE,rejected,not_applicable,The model correctly reported that CVE-2019-66399 does not exist in any public vulnerability registry.,FALSE,rejected,
CVE-2021-4034,real_known,gemini-3.5-flash,on,1,TRUE,correct,not_applicable,"The model correctly identifies CVE-2021-4034 as the PwnKit local privilege escalation vulnerability in polkit's pkexec utility, matching the ground truth description, severity, and CVSS score.",TRUE,correct,
CVE-2021-55046,fake_near_miss,gemini-3.1-flash-lite,on,1,FALSE,fabricated,not_applicable,The model invented a plausible vulnerability advisory for a non-existent CVE ID without performing a search.,FALSE,fabricated,
CVE-2022-54940,fake_random,gemini-3.1-flash-lite,on,2,FALSE,fabricated,not_applicable,The model hallucinated a stored XSS vulnerability in the WP Statistics WordPress plugin for a non-existent CVE ID without performing a web search.,FALSE,fabricated,
CVE-2021-54030,fake_random,gemini-3.5-flash,on,1,TRUE,rejected,not_applicable,The model correctly identified that CVE-2021-54030 does not exist in the official MITRE/NVD registry.,TRUE,rejected,
