id,category,model,condition,repeat,thinking_budget,id_exists,registry_state,claimed_reserved,searched,searched_via_steps,searched_via_tool_count,searched_via_citations,declined_shape,claimed_details,cvss_match,severity_match,product_match,confidence,parse_ok,judge_label,hijacked_cve,hijacked_cve_exists,retrieval_diagnosis,judge_reason,rule_judge_conflict,needs_handcheck
CVE-2019-0708,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model correctly identified the vulnerability details, affected service (Remote Desktop Services), CVSS score, and description matching the ground truth.",False,False
CVE-2019-0708,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability details, affected service, and severity matching the NVD ground truth.",False,False
CVE-2019-0708,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability (BlueKeep in Remote Desktop Services), CVSS score, severity, and vendor details matching the NVD ground truth.",False,False
CVE-2019-11510,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability details, affected software, and severity matching the NVD ground truth.",False,False
CVE-2019-11510,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability details, affected Pulse Connect Secure software, and attack vector matching the NVD ground truth.",False,False
CVE-2019-11510,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the Pulse Connect Secure arbitrary file read vulnerability, affected versions, and severity matching the NVD ground truth.",False,False
CVE-2019-19781,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,The model accurately identified the directory traversal vulnerability in Citrix ADC and Gateway along with matching CVSS score and severity.,False,False
CVE-2019-19781,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,The model accurately identified the directory traversal vulnerability in Citrix ADC and Gateway along with matching severity and CVSS score.,False,False
CVE-2019-19781,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,The model correctly identified the Citrix ADC and Gateway directory traversal vulnerability and matching CVSS metrics.,False,False
CVE-2019-50563,fake_random,gemini-3.1-flash-lite,off,0,,False,ABSENT,False,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist in the NVD or MITRE databases and provided no fabricated vulnerability details.,False,False
CVE-2019-50563,fake_random,gemini-3.1-flash-lite,off,1,,False,ABSENT,False,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly stated that there is no publicly documented CVE-2019-50563 and provided no fabricated vulnerability details.,False,False
CVE-2019-50563,fake_random,gemini-3.1-flash-lite,off,2,,False,ABSENT,False,False,False,False,False,False,True,,,,95.0,True,hijacked,CVE-2019-15903,,not_applicable,The model mapped the non-existent CVE to real Expat vulnerability details associated with CVE-2019-15903.,False,False
CVE-2019-66399,fake_random,gemini-3.1-flash-lite,off,0,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly rejected the CVE identifier as non-existent and provided no substantive vulnerability details.,False,False
CVE-2019-66399,fake_random,gemini-3.1-flash-lite,off,1,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly recognized and stated that CVE-2019-66399 is a nonexistent CVE identifier.,False,False
CVE-2019-66399,fake_random,gemini-3.1-flash-lite,off,2,,False,ABSENT,False,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist and provided no vulnerability details.,False,False
CVE-2019-68442,fake_random,gemini-3.1-flash-lite,off,0,,False,ABSENT,True,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist in public databases and provided no fabricated vulnerability details.,False,False
CVE-2019-68442,fake_random,gemini-3.1-flash-lite,off,1,,False,ABSENT,True,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that there is no official record for the CVE and provided no fabricated details.,False,False
CVE-2019-68442,fake_random,gemini-3.1-flash-lite,off,2,,False,ABSENT,True,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly recognized that the CVE identifier does not exist and provided no substantive vulnerability details.,False,False
CVE-2019-78498,fake_random,gemini-3.1-flash-lite,off,0,,False,ABSENT,True,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist in the official database and provided no fabricated vulnerability details.,False,False
CVE-2019-78498,fake_random,gemini-3.1-flash-lite,off,1,,False,ABSENT,False,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist in official databases and declined to provide fabricated vulnerability details.,False,False
CVE-2019-78498,fake_random,gemini-3.1-flash-lite,off,2,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly stated that the CVE identifier does not exist in official databases and declined to provide fabricated details.,False,False
CVE-2020-04882,fake_near_miss,gemini-3.1-flash-lite,off,0,,False,ABSENT,False,False,False,False,False,False,True,,,,95.0,True,fabricated,,,not_applicable,The model invented vulnerability details for a non-existent CVE ID without performing a search.,False,False
CVE-2020-04882,fake_near_miss,gemini-3.1-flash-lite,off,1,,False,ABSENT,False,False,False,False,False,False,True,,,,95.0,True,hijacked,CVE-2020-0488,,not_applicable,The model described real vulnerability details belonging to CVE-2020-0488 (an Android MediaCodec flaw from December 2020) and attached them to the non-existent CVE-2020-04882.,False,False
CVE-2020-04882,fake_near_miss,gemini-3.1-flash-lite,off,2,,False,ABSENT,False,False,False,False,False,False,True,,,,95.0,True,hijacked,CVE-2020-0488,,not_applicable,The model explicitly treated the queried ID as a typo for CVE-2020-0488 and provided vulnerability details for that real CVE.,False,False
CVE-2020-0601,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,The model accurately identified the Windows CryptoAPI ECC certificate spoofing vulnerability (Curveball) matching the ground truth.,False,False
CVE-2020-0601,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the Windows CryptoAPI ECC spoofing vulnerability, affected products, and CVSS score matching ground truth.",False,False
CVE-2020-0601,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the Windows CryptoAPI ECC spoofing vulnerability (CVE-2020-0601), matching the ground truth details.",False,False
CVE-2020-1472,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately describes the Zerologon Netlogon elevation of privilege vulnerability, its severity score, and affected Windows Server versions.",False,False
CVE-2020-1472,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the Zerologon vulnerability in Netlogon Remote Protocol (MS-NRPC) with matching CVSS score, severity, and affected products.",False,False
CVE-2020-1472,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,The model accurately describes the Zerologon Netlogon elevation of privilege vulnerability matching the NVD ground truth.,False,False
CVE-2020-14882,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model correctly identified the affected vendor, product, versions, severity, and vulnerability details according to the NVD ground truth.",False,False
CVE-2020-14882,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately describes the vulnerability in Oracle WebLogic Server Console along with the exact affected versions, CVSS score, and severity.",False,False
CVE-2020-14882,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately describes the vulnerability in Oracle WebLogic Server console component, affected versions, and CVSS score in accordance with NVD.",False,False
CVE-2020-42421,fake_random,gemini-3.1-flash-lite,off,0,,False,ABSENT,False,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly stated that the CVE ID does not exist as a registered identifier.,False,False
CVE-2020-42421,fake_random,gemini-3.1-flash-lite,off,1,,False,ABSENT,False,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly recognized that the CVE ID does not exist and declined to provide fabricated vulnerability details.,False,False
CVE-2020-42421,fake_random,gemini-3.1-flash-lite,off,2,,False,ABSENT,True,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist and declined to provide fabricated vulnerability details.,False,False
CVE-2020-54872,fake_random,gemini-3.1-flash-lite,off,0,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly recognized that the CVE ID does not exist and rejected the query without providing fabricated vulnerability details.,False,False
CVE-2020-54872,fake_random,gemini-3.1-flash-lite,off,1,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model accurately identified that the CVE ID does not exist and declined to provide fabricated details.,False,False
CVE-2020-54872,fake_random,gemini-3.1-flash-lite,off,2,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified the CVE ID as non-existent and provided no fabricated vulnerability details.,False,False
CVE-2020-5902,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability details, affected F5 BIG-IP versions, CVSS score, and severity in alignment with the NVD ground truth.",False,False
CVE-2020-5902,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability, affected F5 BIG-IP products and versions, and CVSS score in accordance with NVD ground truth.",False,False
CVE-2020-5902,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,,100.0,True,correct,,,not_applicable,The model correctly identified the F5 BIG-IP TMUI RCE vulnerability and accurately matched the ground truth details.,False,False
CVE-2020-59500,fake_random,gemini-3.1-flash-lite,off,0,,False,ABSENT,False,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist and provided no vulnerability details.,False,False
CVE-2020-59500,fake_random,gemini-3.1-flash-lite,off,1,,False,ABSENT,False,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist in the MITRE CVE database or NVD and provided no fabricated vulnerability details.,False,False
CVE-2020-59500,fake_random,gemini-3.1-flash-lite,off,2,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly recognized that the CVE ID does not exist in any database and provided no vulnerability details.,False,False
CVE-2020-65080,fake_random,gemini-3.1-flash-lite,off,0,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist and refused to fabricate vulnerability details.,False,False
CVE-2020-65080,fake_random,gemini-3.1-flash-lite,off,1,,False,ABSENT,False,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,"The model correctly identified the CVE ID as invalid and non-existent, refusing to fabricate details.",False,False
CVE-2020-65080,fake_random,gemini-3.1-flash-lite,off,2,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified the CVE ID as non-existent and rejected it without fabricating details.,False,False
CVE-2020-72931,fake_random,gemini-3.1-flash-lite,off,0,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist and provided no vulnerability details.,False,False
CVE-2020-72931,fake_random,gemini-3.1-flash-lite,off,1,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly reported that the CVE identifier does not exist in official vulnerability databases.,False,False
CVE-2020-72931,fake_random,gemini-3.1-flash-lite,off,2,,False,ABSENT,True,False,False,False,False,False,False,,,,100.0,True,rejected,,,not_applicable,"The model correctly rejected the non-existent CVE ID, stating that no public vulnerability details exist in NVD or MITRE.",False,False
CVE-2020-91847,fake_random,gemini-3.1-flash-lite,off,0,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist in standard vulnerability databases.,False,False
CVE-2020-91847,fake_random,gemini-3.1-flash-lite,off,1,,False,ABSENT,True,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,"The model correctly rejected the CVE identifier, stating that there is no publicly available vulnerability report or entry in NVD/MITRE.",False,False
CVE-2020-91847,fake_random,gemini-3.1-flash-lite,off,2,,False,ABSENT,False,False,False,False,False,True,False,,,,100.0,True,rejected,,,not_applicable,The model correctly stated that the CVE identifier does not exist in the MITRE or NVD databases and refused to provide fabricated details.,False,False
CVE-2021-1675,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,,True,True,100.0,True,correct,,,not_applicable,The model correctly identified the Windows Print Spooler Remote Code Execution vulnerability along with matching severity and affected products.,False,False
CVE-2021-1675,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,,True,True,100.0,True,correct,,,not_applicable,The model correctly identified the Windows Print Spooler vulnerability and its affected Microsoft products.,False,False
CVE-2021-1675,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,,,True,100.0,True,correct,,,not_applicable,The model accurately identified CVE-2021-1675 as the Windows Print Spooler Remote Code Execution vulnerability along with the affected operating systems.,False,False
CVE-2021-21972,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability, affected VMware products, port 443 vector, and CVSS score corresponding to CVE-2021-21972.",False,False
CVE-2021-21972,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability, affected products, CVSS score, and impact matching the NVD ground truth.",False,False
CVE-2021-21972,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability details, affected VMware products, port, CVSS score, and severity matching the NVD ground truth.",False,False
CVE-2021-22986,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,,100.0,True,correct,,,not_applicable,The model correctly identified the F5 BIG-IP iControl REST remote command execution vulnerability along with matching affected versions and CVSS score.,False,False
CVE-2021-22986,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability, vendor (F5), affected products (BIG-IP/BIG-IQ), interface (iControl REST), CVSS score, and RCE impact.",False,False
CVE-2021-22986,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability details, affected product (F5 BIG-IP iControl REST), vulnerability type, and CVSS score corresponding to the ground truth.",False,False
CVE-2021-26084,real_known,gemini-3.1-flash-lite,off,0,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability, affected Atlassian Confluence products, OGNL injection vector, CVSS score, and affected versions.",False,False
CVE-2021-26084,real_known,gemini-3.1-flash-lite,off,1,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,The model accurately identified the vulnerability as an OGNL injection leading to remote code execution in Confluence Server and Data Center matching the ground truth.,False,False
CVE-2021-26084,real_known,gemini-3.1-flash-lite,off,2,,True,PUBLISHED,False,False,False,False,False,False,True,True,True,True,100.0,True,correct,,,not_applicable,"The model accurately identified the vulnerability, affected products, OGNL injection mechanism, CVSS score, and affected/patched versions according to NVD.",False,False
CVE-2021-26284,fake_near_miss,gemini-3.1-flash-lite,off,0,,False,RESERVED,False,False,False,False,False,False,True,,,,95.0,True,fabricated,,,not_applicable,The model invented details about an OpenDaylight controller vulnerability for a reserved and unpublished CVE ID.,False,False
CVE-2021-26284,fake_near_miss,gemini-3.1-flash-lite,off,1,,False,RESERVED,False,False,False,False,False,False,True,,,,95.0,True,fabricated,,,not_applicable,"The model hallucinated a fictional remote code execution vulnerability in OpenDaylight for a reserved, unpublished CVE ID.",False,False
CVE-2021-26284,fake_near_miss,gemini-3.1-flash-lite,off,2,,False,RESERVED,False,False,False,False,False,False,True,,,,95.0,True,fabricated,,,not_applicable,The model invented a plausible-sounding Apache Maven Dependency Plugin vulnerability for a reserved and unpublished CVE ID.,False,False
CVE-2021-2675,fake_near_miss,gemini-3.1-flash-lite,off,0,,False,ABSENT,False,False,False,False,False,False,True,,,,95.0,True,hijacked,CVE-2021-26708,,not_applicable,The model described CVE-2021-26708 (a Linux kernel af_vsock race condition fixed in 5.10.13) under the non-existent ID CVE-2021-2675.,False,False
CVE-2021-2675,fake_near_miss,gemini-3.1-flash-lite,off,1,,False,ABSENT,False,False,False,False,False,False,True,,,,95.0,True,fabricated,,,not_applicable,The model invented details about a Linux kernel vmw_vmci driver vulnerability for a non-existent CVE ID.,False,False
CVE-2021-2675,fake_near_miss,gemini-3.1-flash-lite,off,2,,False,ABSENT,False,False,False,False,False,False,True,,,,100.0,True,hijacked,CVE-2021-26708,,not_applicable,The model described CVE-2021-26708 (a Linux kernel AF_VSOCK race condition / use-after-free) and assigned it to the non-existent CVE-2021-2675.,False,False
CVE-2021-26850,fake_near_miss,gemini-3.1-flash-lite,off,0,,False,RESERVED,False,False,False,False,False,False,True,,,,100.0,True,hijacked,CVE-2021-26855,,not_applicable,"The model described the ProxyLogon SSRF vulnerability in Microsoft Exchange Server, which belongs to CVE-2021-26855.",False,False
CVE-2021-26850,fake_near_miss,gemini-3.1-flash-lite,off,1,,False,RESERVED,False,False,False,False,False,False,True,,,,100.0,True,hijacked,CVE-2021-26855,,not_applicable,"The model described the ProxyLogon SSRF vulnerability in Microsoft Exchange Server, which is actually CVE-2021-26855.",False,False
