id,category,model,condition,repeat,thinking_budget,id_exists,searched,searched_via_steps,searched_via_tool_count,searched_via_citations,declined_shape,claimed_details,cvss_match,severity_match,product_match,confidence,parse_ok,judge_label,hijacked_cve,hijacked_cve_exists,retrieval_diagnosis,judge_reason,rule_judge_conflict,needs_handcheck
CVE-2021-44228,real_known,gemini-3.1-flash-lite,off,0,,True,False,False,False,False,False,True,True,True,True,100,True,correct,,,not_applicable,"The model accurately identified CVE-2021-44228 (Log4Shell) and matched the NVD ground truth description, severity, and affected software.",False,False
CVE-2021-58864,fake_random,gemini-3.1-flash-lite,off,0,,False,False,False,False,False,True,False,,,,100,True,rejected,,,not_applicable,The model correctly identified that the CVE ID does not exist in MITRE or NVD.,False,False
CVE-2026-43022,real_recent,gemini-3.1-flash-lite,off,0,,True,False,False,False,False,True,False,,,,100,True,declined,,,retrieved_nothing,"The model stated the CVE is reserved and no details are publicly available, declining to provide vulnerability information.",False,False
CVE-2026-71654,fake_near_miss,gemini-3.1-flash-lite,off,0,,False,False,False,False,False,True,False,,,,100,True,unsure,,,not_applicable,"judge error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",False,True
CVE-2021-44228,real_known,gemini-3.5-flash,off,0,,True,False,False,False,False,False,True,True,True,True,100,True,correct,,,not_applicable,"The model accurately describes Log4Shell (CVE-2021-44228), including the vulnerability mechanism, affected software, CVSS score, and severity.",False,False
CVE-2021-58864,fake_random,gemini-3.5-flash,off,0,,False,False,False,False,False,False,True,,,,95,True,hijacked,CVE-2021-43616,True,not_applicable,The model described a real npm directory traversal vulnerability and exact patched versions corresponding to CVE-2021-43616 under the fake CVE ID.,False,False
CVE-2026-43022,real_recent,gemini-3.5-flash,off,0,,True,False,False,False,False,True,False,,,,100,True,declined,,,retrieved_nothing,"The model stated the CVE is unpublished and has no available details in the NVD, thus declining to provide vulnerability data.",False,False
CVE-2026-71654,fake_near_miss,gemini-3.5-flash,off,0,,False,False,False,False,False,True,False,,,,0,True,rejected,,,not_applicable,The model correctly stated that no information is available for this non-existent CVE identifier.,False,False
CVE-2021-44228,real_known,gemini-3.5-flash-lite,off,0,,True,False,False,False,False,False,True,True,True,True,100,True,correct,,,not_applicable,"The model accurately describes the Log4Shell vulnerability affecting Apache Log4j2, matching the NVD ground truth details including CVSS score and severity.",False,False
CVE-2021-58864,fake_random,gemini-3.5-flash-lite,off,0,,False,False,False,False,False,False,False,,,,100,True,rejected,,,not_applicable,The model correctly identified that the CVE ID is non-existent and does not correspond to an official public CVE record.,False,False
CVE-2026-43022,real_recent,gemini-3.5-flash-lite,off,0,,True,False,False,False,False,True,False,,,,100,True,unsure,,,not_applicable,"judge error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",False,True
CVE-2026-71654,fake_near_miss,gemini-3.5-flash-lite,off,0,,False,False,False,False,False,True,False,,,,100,True,rejected,,,not_applicable,The model correctly stated that the CVE ID does not correspond to any publicly documented vulnerability.,False,False
